"","Rule","Coefficient","Empirical.Risk"
"1","Feature2 > -0.12 AND Feature2 <= 1.55 AND Feature4 > 0.32 AND Feature9 <= -0.90",2.22386703392112,0.0769230769230769
"2","Feature2 > -0.12 AND Feature2 > 1.55",0.0325675061519152,0.05
"3","Feature2 > -0.11 AND Feature2 > 1.16 AND Feature12 > -0.59",0.0984997360722196,0.0344827586206897
"4","Feature2 <= -0.15 AND Feature15 > 0.41 AND Feature32 <= -0.94",-0.097451788180714,0.0526315789473684
"5","Feature2 > -0.15 AND Feature9 <= -0.80 AND Feature23 > 0.53",1.92308498504883,0.0625
"6","Feature2 > -0.12 AND Feature2 <= 1.55 AND Feature4 <= 0.49 AND Feature8 > 0.56",-0.0693857214338095,0.04
"7","Feature2 > -0.12 AND Feature2 > 1.55",0.000434912943521847,0.05
"8","Feature2 <= 0.18 AND Feature8 <= -0.21 AND Feature9 <= 0.79",0.732114640654441,0.0128205128205128
"9","Feature2 > 0.18 AND Feature2 <= 1.61 AND Feature4 > 0.70",0.318479527707096,0.03125
"10","Feature2 <= 0.96 AND Feature4 <= -0.37 AND Feature9 > 0.64",-0.466494733179918,0.04
"11","Feature2 <= 0.84 AND Feature12 <= -0.89 AND Feature40 <= -1.27",-2.42939964596672,0.125
"12","Feature2 > -0.11 AND Feature4 > -0.15 AND Feature8 <= -0.23",0.85443853509734,0.0208333333333333
"13","Feature2 > -0.11 AND Feature8 > -0.23 AND Feature20 > -0.21",-0.444356002232327,0.0161290322580645
"14","Feature2 > -0.12 AND Feature12 <= 0.04 AND Feature32 <= 0.08",-0.129352313791432,0.0222222222222222
"15","Feature2 <= -0.12 AND Feature42 <= -0.15",-0.762825751502517,0.0126582278481013
"16","Feature2 > -0.12 AND Feature8 > 0.25 AND Feature12 <= -0.22",-1.17121555395648,0.037037037037037
"17","Feature2 <= 0.18 AND Feature9 > 0.58",-0.40921336493441,0.02
"18","Feature2 > 0.18 AND Feature9 <= 0.86 AND Feature30 <= -0.16",0.719907983531988,0.0169491525423729
